address,time_unix,time,dne,srl,srrn,eda
RP01006,1710921882.675000,2024-03-20 08:04:42.675+00,\N,\N,\N,620105
RP01006,1710921883.008000,2024-03-20 08:04:43.008+00,\N,\N,\N,623004
RP01006,1710921883.341000,2024-03-20 08:04:43.341+00,\N,\N,\N,624943
RP01006,1710921883.674000,2024-03-20 08:04:43.674+00,\N,\N,\N,627698
RP01006,1710921884.007000,2024-03-20 08:04:44.007+00,\N,\N,\N,629811
RP01006,1710921884.340000,2024-03-20 08:04:44.34+00,\N,\N,\N,632093
RP01006,1710921884.673000,2024-03-20 08:04:44.673+00,\N,\N,\N,634872
RP01006,1710921885.006000,2024-03-20 08:04:45.006+00,\N,\N,\N,637660
RP01006,1710921885.339000,2024-03-20 08:04:45.339+00,\N,\N,\N,640294
RP01006,1710921885.672000,2024-03-20 08:04:45.672+00,\N,\N,\N,642770
RP01006,1710921886.005000,2024-03-20 08:04:46.005+00,\N,\N,\N,645420
RP01006,1710921886.338000,2024-03-20 08:04:46.338+00,\N,\N,\N,647246
RP01006,1710921886.671000,2024-03-20 08:04:46.671+00,\N,\N,\N,649077
RP01006,1710921887.004000,2024-03-20 08:04:47.004+00,\N,\N,\N,650745
RP01006,1710921887.337000,2024-03-20 08:04:47.337+00,\N,\N,\N,652583
RP01006,1710921887.670000,2024-03-20 08:04:47.67+00,\N,\N,\N,655432
RP01006,1710921888.003000,2024-03-20 08:04:48.003+00,\N,\N,\N,656945
RP01006,1710921888.336000,2024-03-20 08:04:48.336+00,\N,\N,\N,658966
RP01006,1710921888.669000,2024-03-20 08:04:48.669+00,\N,\N,\N,661668
RP01006,1710921889.002000,2024-03-20 08:04:49.002+00,\N,\N,\N,663361
RP01006,1710921889.335000,2024-03-20 08:04:49.335+00,\N,\N,\N,664888
RP01006,1710921889.668000,2024-03-20 08:04:49.668+00,\N,\N,\N,666077
RP01006,1710921890.001000,2024-03-20 08:04:50.001+00,\N,\N,\N,666418
RP01006,1710921890.334000,2024-03-20 08:04:50.334+00,\N,\N,\N,667609
RP01006,1710921890.667000,2024-03-20 08:04:50.667+00,\N,\N,\N,669998
RP01006,1710921891.000000,2024-03-20 08:04:51+00,\N,\N,\N,672051
RP01006,1710921891.333000,2024-03-20 08:04:51.333+00,\N,\N,\N,674624
RP01006,1710921891.666000,2024-03-20 08:04:51.666+00,\N,\N,\N,676860
RP01006,1710921891.999000,2024-03-20 08:04:51.999+00,\N,\N,\N,678412
RP01006,1710921892.332000,2024-03-20 08:04:52.332+00,\N,\N,\N,680312
RP01006,1710921892.665000,2024-03-20 08:04:52.665+00,\N,\N,\N,682737
RP01006,1710921892.998000,2024-03-20 08:04:52.998+00,\N,\N,\N,686562
RP01006,1710921893.331000,2024-03-20 08:04:53.331+00,\N,\N,\N,689530
RP01006,1710921893.664000,2024-03-20 08:04:53.664+00,\N,\N,\N,691631
RP01006,1710921893.997000,2024-03-20 08:04:53.997+00,\N,\N,\N,693737
RP01006,1710921894.330000,2024-03-20 08:04:54.33+00,\N,\N,\N,695144
RP01006,1710921894.663000,2024-03-20 08:04:54.663+00,\N,\N,\N,697083
RP01006,1710921894.996000,2024-03-20 08:04:54.996+00,\N,\N,\N,699379
RP01006,1710921895.329000,2024-03-20 08:04:55.329+00,\N,\N,\N,700796
RP01006,1710921895.662000,2024-03-20 08:04:55.662+00,\N,\N,\N,702392
RP01006,1710921895.995000,2024-03-20 08:04:55.995+00,\N,\N,\N,703458
RP01006,1710921896.328000,2024-03-20 08:04:56.328+00,\N,\N,\N,703991
RP01006,1710921896.661000,2024-03-20 08:04:56.661+00,\N,\N,\N,705772
RP01006,1710921896.994000,2024-03-20 08:04:56.994+00,\N,\N,\N,707377
RP01006,1710921897.327000,2024-03-20 08:04:57.327+00,\N,\N,\N,709165
RP01006,1710921897.660000,2024-03-20 08:04:57.66+00,\N,\N,\N,711674
RP01006,1710921897.993000,2024-03-20 08:04:57.993+00,\N,\N,\N,713291
RP01006,1710921898.326000,2024-03-20 08:04:58.326+00,\N,\N,\N,714911
RP01006,1710921898.659000,2024-03-20 08:04:58.659+00,\N,\N,\N,717256
RP01006,1710921898.992000,2024-03-20 08:04:58.992+00,\N,\N,\N,719245
RP01006,1710921899.325000,2024-03-20 08:04:59.325+00,\N,\N,\N,720876
RP01006,1710921899.658000,2024-03-20 08:04:59.658+00,\N,\N,\N,722510
RP01006,1710921899.991000,2024-03-20 08:04:59.991+00,\N,\N,\N,724148
RP01006,1710921900.324000,2024-03-20 08:05:00.324+00,\N,\N,\N,726153
RP01006,1710921900.657000,2024-03-20 08:05:00.657+00,\N,\N,\N,727980
RP01006,1710921900.990000,2024-03-20 08:05:00.99+00,\N,\N,\N,729261
RP01006,1710921901.323000,2024-03-20 08:05:01.323+00,\N,\N,\N,730911
RP01006,1710921901.656000,2024-03-20 08:05:01.656+00,\N,\N,\N,732381
RP01006,1710921901.989000,2024-03-20 08:05:01.989+00,\N,\N,\N,733116
RP01006,1710921902.322000,2024-03-20 08:05:02.322+00,\N,\N,\N,734958
RP01006,1710921902.655000,2024-03-20 08:05:02.655+00,\N,\N,\N,736804
RP01006,1710921902.988000,2024-03-20 08:05:02.988+00,\N,\N,\N,738469
RP01006,1710921903.321000,2024-03-20 08:05:03.321+00,\N,\N,\N,740136
RP01006,1710921903.654000,2024-03-20 08:05:03.654+00,\N,\N,\N,742923
RP01006,1710921903.987000,2024-03-20 08:05:03.987+00,\N,\N,\N,745532
RP01006,1710921904.320000,2024-03-20 08:05:04.32+00,\N,\N,\N,747213
RP01006,1710921904.653000,2024-03-20 08:05:04.653+00,\N,\N,\N,749272
RP01006,1710921904.986000,2024-03-20 08:05:04.986+00,\N,\N,\N,751149
RP01006,1710921905.319000,2024-03-20 08:05:05.319+00,\N,\N,\N,752653
